,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost,sigP,sigMeas
0,0.99053868359375,0.9711163564644608,49543,379.0,457.0,0.9834057841560968,50,0,1,0.9803921568627451,972.3725490196078,0.9215686274509803,818.672131147541,50,3,KF,RW,1,30,5.0,10.0
1,0.9921405454101563,0.9726868092256434,49617,295.0,383.0,0.9865195347450044,50,0,1,0.9803921568627451,911.7058823529412,0.8431372549019608,818.672131147541,50,3,KF,RW,1,30,5.0,10.0
2,0.975526033203125,0.975526033203125,48780,0.0,1220.0,0.9756,50,0,0,1.0,906.92,0.88,832.3333333333334,50,3,KF,RW,1,30,5.0,10.0
3,0.9671814296875,0.9671814296875,48382,0.0,1618.0,0.96764,50,0,0,1.0,947.32,0.84,805.4516129032259,50,3,KF,RW,1,30,5.0,10.0
4,0.984016359375,0.984016359375,49214,0.0,786.0,0.98428,50,0,0,1.0,902.76,0.84,640.025641025641,50,3,KF,RW,1,30,5.0,10.0
5,0.9827955625,0.9635250612745098,49143,361.0,857.0,0.9758146184547567,50,0,1,0.9803921568627451,949.9803921568628,0.9215686274509803,942.3962264150944,50,3,KF,RW,1,30,5.0,10.0
6,0.975715775390625,0.975715775390625,48794,0.0,1206.0,0.97588,50,0,0,1.0,863.36,0.84,805.4516129032259,50,3,KF,RW,1,30,5.0,10.0
7,0.9947264619140626,0.975222021484375,49737,209.0,263.0,0.9905992949471211,50,0,1,0.9803921568627451,941.2745098039215,0.9215686274509803,942.3962264150944,50,3,KF,RW,1,30,5.0,10.0
8,0.9938467592773438,0.9743595679189645,49697,297.0,303.0,0.988070859096964,50,0,1,0.9803921568627451,942.5490196078431,0.8627450980392157,745.2686567164179,50,3,KF,RW,1,30,5.0,10.0
9,0.9578845,0.9578845,47915,0.0,2085.0,0.9583,50,0,0,1.0,911.66,0.88,713.2857142857143,50,3,KF,RW,1,30,5.0,10.0
0,0.9905743759765625,0.9711513489966299,49543,379.0,457.0,0.9834057841560968,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,876.1929824561404,50,3,KF,RW,1,30,5.0,5.0
1,0.9980092338867188,0.9980092338867188,49912,0.0,88.0,0.99824,50,0,0,1.0,929.96,0.88,832.3333333333334,50,3,KF,RW,1,30,5.0,5.0
2,0.975604623046875,0.975604623046875,48782,0.0,1218.0,0.97564,50,0,0,1.0,906.92,0.88,891.8571428571429,50,3,KF,RW,1,30,5.0,5.0
3,0.9488461640625,0.9488461640625,47468,0.0,2532.0,0.94936,50,0,0,1.0,947.6,0.84,861.0689655172414,50,3,KF,RW,1,30,5.0,5.0
4,0.96063275,0.96063275,48077,0.0,1923.0,0.96154,50,0,0,1.0,865.64,0.8,734.2941176470588,50,3,KF,RW,1,30,5.0,5.0
