,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost
0,0.9702719765625,0.9512470358455882,48526,256.0,1474.0,0.9655762496020376,50,0,1,0.9803921568627451,908.0196078431372,0.8431372549019608,846.457627118644,50,7,naive,RW,3,40
1,0.93566190625,0.9173155943627451,46802,88.0,3198.0,0.9343954639833892,50,0,1,0.9803921568627451,799.4313725490196,0.6862745098039216,683.931506849315,50,7,naive,RW,3,40
2,0.97306,0.9179811320754717,48653,497.0,1347.0,0.9634829791868824,50,0,3,0.9433962264150944,887.1509433962265,0.8301886792452831,876.1929824561404,50,7,naive,RW,3,40
3,0.96551157421875,0.96551157421875,48286,0.0,1714.0,0.96572,50,0,0,1.0,924.52,0.88,891.8571428571429,50,7,naive,RW,3,40
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,3,40
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,3,40
6,0.8928190859375,0.8753128293504902,44660,473.0,5340.0,0.8848295128088285,50,0,1,0.9803921568627451,784.8235294117648,0.6862745098039216,703.2253521126761,50,7,naive,RW,3,40
7,0.9334356875,0.8046859375,46682,2324.0,3318.0,0.8921718523048696,50,0,8,0.8620689655172413,771.3448275862069,0.6206896551724138,693.4444444444445,50,7,naive,RW,3,40
8,0.95528175,0.8845201388888889,47767,1169.0,2233.0,0.933514432566593,50,0,4,0.9259259259259259,848.4629629629629,0.7407407407407407,805.4516129032259,50,7,naive,RW,3,40
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,3,40
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,3,60
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,3,60
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,3,60
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,3,60
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,3,60
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,3,60
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,3,60
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,3,60
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,3,60
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,3,60
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,3,80
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,3,80
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,3,80
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,3,80
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,3,80
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,3,80
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,3,80
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,3,80
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,3,80
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,3,80
0,0.7545063750000001,0.336833203125,37732,11505.0,12268.0,0.613478578977319,50,0,62,0.44642857142857145,436.32142857142856,0.125,437.5964912280702,50,1,naive,RW,1,10
1,0.765072859375,0.3678234900841346,38254,11746.0,11746.0,0.619538107731675,50,0,54,0.4807692307692308,478.3269230769231,0.1346153846153846,461.962962962963,50,1,naive,RW,1,10
2,0.83816,0.48170114942528736,41908,8092.0,8092.0,0.7214074227088068,50,0,37,0.5747126436781609,573.7126436781609,0.2988505747126437,573.7126436781609,50,1,naive,RW,1,10
3,0.7637,0.3503211009174312,38185,11815.0,11815.0,0.61773032435493,50,0,59,0.45871559633027525,457.7155963302752,0.11009174311926606,457.7155963302752,50,1,naive,RW,1,10
4,0.74238,0.34369444444444447,37119,12881.0,12881.0,0.5903054976861055,50,0,58,0.46296296296296297,461.962962962963,0.1388888888888889,461.962962962963,50,1,naive,RW,1,10
5,0.78266,0.3952828282828283,39133,10867.0,10867.0,0.6429263804688912,50,0,49,0.5050505050505051,504.050505050505,0.1717171717171717,504.050505050505,50,1,naive,RW,1,10
6,0.80686,0.41166326530612246,40343,9657.0,9657.0,0.6762492247347336,50,0,48,0.5102040816326531,509.2040816326531,0.1836734693877551,509.2040816326531,50,1,naive,RW,1,10
7,0.75574,0.33738392857142857,37787,12213.0,12213.0,0.6073810939835725,50,0,62,0.44642857142857145,445.42857142857144,0.125,445.42857142857144,50,1,naive,RW,1,10
8,0.7304200000000001,0.31757391304347826,36521,13479.0,13479.0,0.5753241229382946,50,0,65,0.43478260869565216,433.7826086956522,0.11304347826086956,433.7826086956522,50,1,naive,RW,1,10
9,0.7986800000000001,0.38398076923076924,39934,10066.0,10066.0,0.6648353477841041,50,0,54,0.4807692307692308,479.7692307692308,0.15384615384615385,479.7692307692308,50,1,naive,RW,1,10
0,0.9702719765625,0.9512470358455882,48526,256.0,1474.0,0.9655762496020376,50,0,1,0.9803921568627451,908.0196078431372,0.8431372549019608,846.457627118644,50,7,naive,RW,5,40
1,0.93566190625,0.9173155943627451,46802,88.0,3198.0,0.9343954639833892,50,0,1,0.9803921568627451,799.4313725490196,0.6862745098039216,683.931506849315,50,7,naive,RW,5,40
2,0.9774,0.9220754716981132,48870,280.0,1130.0,0.9719570405727923,50,0,3,0.9433962264150944,883.0566037735849,0.8301886792452831,876.1929824561404,50,7,naive,RW,5,40
3,0.96551157421875,0.96551157421875,48286,0.0,1714.0,0.96572,50,0,0,1.0,924.52,0.88,891.8571428571429,50,7,naive,RW,5,40
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,5,40
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,5,40
6,0.8928190859375,0.8753128293504902,44660,473.0,5340.0,0.8848295128088285,50,0,1,0.9803921568627451,784.8235294117648,0.6862745098039216,703.2253521126761,50,7,naive,RW,5,40
7,0.9334356875,0.8046859375,46682,2324.0,3318.0,0.8921718523048696,50,0,8,0.8620689655172413,771.3448275862069,0.6206896551724138,693.4444444444445,50,7,naive,RW,5,40
8,0.95528175,0.8845201388888889,47767,1169.0,2233.0,0.933514432566593,50,0,4,0.9259259259259259,848.4629629629629,0.7407407407407407,805.4516129032259,50,7,naive,RW,5,40
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,5,40
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
1,0.9999857218513489,0.9999857218513489,50000,0.0,0.0,1.0,50,0,0,1.0,996.0,0.96,924.925925925926,50,1,naive,RW,1,20
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
3,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
4,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
8,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,20
0,0.415657375,0.06375113113496933,20785,28979.0,29215.0,0.2631712227300928,50,0,276,0.15337423312883436,148.2116564417178,0.0,147.3679525222552,50,7,naive,RW,3,20
1,0.37797487500000004,0.051635911885245904,18908,30121.0,31092.0,0.2359930604959998,50,0,316,0.1366120218579235,124.25409836065573,0.0,124.0,50,7,naive,RW,3,20
2,0.3702,0.053189655172413794,18510,31420.0,31490.0,0.2273397199705232,50,0,298,0.14367816091954022,140.79885057471265,0.0,140.24293785310735,50,7,naive,RW,3,20
3,0.382904625,0.052309375,19146,30629.0,30854.0,0.23745798658051073,50,0,316,0.1366120218579235,132.13387978142077,0.0,131.6259946949602,50,7,naive,RW,3,20
4,0.41674225,0.06471152950310559,20838,29146.0,29162.0,0.26328557349708137,50,0,272,0.15527950310559005,151.74223602484471,0.0,153.79876160990713,50,7,naive,RW,3,20
5,0.38758499999999996,0.054436095505617975,19381,30558.0,30619.0,0.2405844236450756,50,0,306,0.1404494382022472,134.62078651685394,0.0,131.9787234042553,50,7,naive,RW,3,20
6,0.35510474999999997,0.05072925,17759,31891.0,32241.0,0.21686143776483374,50,0,300,0.14285714285714285,134.97142857142856,0.0,131.27513227513228,50,7,naive,RW,3,20
7,0.399620375,0.056925979344729344,19982,29928.0,30018.0,0.25,50,0,301,0.14245014245014245,137.62962962962962,0.002849002849002849,135.23978201634878,50,7,naive,RW,3,20
8,0.43259087500000004,0.06437364211309524,21631,28211.0,28369.0,0.27657234915804685,50,0,286,0.1488095238095238,144.75595238095238,0.0,143.92753623188406,50,7,naive,RW,3,20
9,0.39234837499999997,0.054950752801120446,19618,30314.0,30382.0,0.2442662549493239,50,0,307,0.1400560224089636,133.50700280112045,0.0,133.40860215053763,50,7,naive,RW,3,20
0,0.9825623828125,0.9825623828125,49130,0.0,870.0,0.9826,50,0,0,1.0,981.56,0.96,960.5384615384615,50,9,naive,RW,1,60
1,0.9660032109375,0.9660032109375,48310,0.0,1690.0,0.9662,50,0,0,1.0,825.68,0.76,780.25,50,9,naive,RW,1,60
2,0.9476976171875,0.9476976171875,47406,0.0,2594.0,0.94812,50,0,0,1.0,781.9,0.74,624.0,50,9,naive,RW,1,60
3,0.9125299296875,0.9125299296875,45630,0.0,4370.0,0.9126,50,0,0,1.0,807.36,0.7,756.5757575757576,50,9,naive,RW,1,60
4,0.935961671875,0.935961671875,46812,0.0,3188.0,0.93624,50,0,0,1.0,851.66,0.78,674.6756756756756,50,9,naive,RW,1,60
5,0.943138484375,0.943138484375,47174,0.0,2826.0,0.94348,50,0,0,1.0,765.36,0.66,674.6756756756756,50,9,naive,RW,1,60
6,0.9966014270019531,0.9966014270019531,49834,0.0,166.0,0.99668,50,0,0,1.0,962.44,0.96,960.5384615384615,50,9,naive,RW,1,60
7,0.98236010546875,0.98236010546875,49120,0.0,880.0,0.9824,50,0,0,1.0,979.36,0.84,832.3333333333334,50,9,naive,RW,1,60
8,0.8983441875,0.8983441875,44946,0.0,5054.0,0.89892,50,0,0,1.0,784.14,0.7,489.19607843137254,50,9,naive,RW,1,60
9,0.95284,0.95284,47642,0.0,2358.0,0.95284,50,0,0,1.0,866.04,0.76,693.4444444444445,50,9,naive,RW,1,60
0,0.9702719765625,0.9512470358455882,48526,256.0,1474.0,0.9655762496020376,50,0,1,0.9803921568627451,908.0196078431372,0.8431372549019608,846.457627118644,50,7,naive,RW,10,40
1,0.93566190625,0.9173155943627451,46802,88.0,3198.0,0.9343954639833892,50,0,1,0.9803921568627451,799.4313725490196,0.6862745098039216,683.931506849315,50,7,naive,RW,10,40
2,0.9774,0.9220754716981132,48870,280.0,1130.0,0.9719570405727923,50,0,3,0.9433962264150944,883.0566037735849,0.8301886792452831,876.1929824561404,50,7,naive,RW,10,40
3,0.96551157421875,0.96551157421875,48286,0.0,1714.0,0.96572,50,0,0,1.0,924.52,0.88,891.8571428571429,50,7,naive,RW,10,40
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,10,40
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,10,40
6,0.8928190859375,0.8753128293504902,44660,473.0,5340.0,0.8848295128088285,50,0,1,0.9803921568627451,784.8235294117648,0.6862745098039216,703.2253521126761,50,7,naive,RW,10,40
7,0.9334356875,0.8046859375,46682,2324.0,3318.0,0.8921718523048696,50,0,8,0.8620689655172413,771.3448275862069,0.6206896551724138,693.4444444444445,50,7,naive,RW,10,40
8,0.9486583828125,0.8783873914930556,47435,1187.0,2565.0,0.9267001387070936,50,0,4,0.9259259259259259,848.2962962962963,0.7222222222222222,780.25,50,7,naive,RW,10,40
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,10,40
0,0.9482023828125,0.8620021661931818,47412,1308.0,2588.0,0.9240664223902705,50,0,5,0.9090909090909091,863.3272727272728,0.7454545454545455,846.457627118644,50,9,naive,RW,1,40
