,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas
0,0.989854068359375,0.989854068359375,49496,0.0,504.0,0.98992,50,0,0,1.0,964.96,0.92,891.8571428571429,50,1,KF,rnr,1,60,5.0,10.0
1,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,KF,rnr,1,60,5.0,10.0
2,0.99008059375,0.99008059375,49506,0.0,494.0,0.99012,50,0,0,1.0,968.92,0.96,960.5384615384615,50,1,KF,rnr,1,60,5.0,10.0
3,0.97505358984375,0.97505358984375,48762,0.0,1238.0,0.97524,50,0,0,1.0,891.74,0.84,780.25,50,1,KF,rnr,1,60,5.0,10.0
4,0.9938850703125,0.9938850703125,49696,0.0,304.0,0.99392,50,0,0,1.0,925.96,0.92,891.8571428571429,50,1,KF,rnr,1,60,5.0,10.0
5,0.9547933828125,0.9547933828125,47748,0.0,2252.0,0.95496,50,0,0,1.0,906.68,0.86,861.0689655172414,50,1,KF,rnr,1,60,5.0,10.0
6,0.98556,0.98556,49278,0.0,722.0,0.98556,50,0,0,1.0,945.2,0.92,891.8571428571429,50,1,KF,rnr,1,60,5.0,10.0
7,0.97690827734375,0.97690827734375,48850,0.0,1150.0,0.977,50,0,0,1.0,907.08,0.88,861.0689655172414,50,1,KF,rnr,1,60,5.0,10.0
8,0.987140625,0.987140625,49362,0.0,638.0,0.98724,50,0,0,1.0,930.4,0.92,891.8571428571429,50,1,KF,rnr,1,60,5.0,10.0
9,0.981765171875,0.981765171875,49096,0.0,904.0,0.98192,50,0,0,1.0,980.72,0.96,960.5384615384615,50,1,KF,rnr,1,60,5.0,10.0
0,0.985107259765625,0.985107259765625,49260,0.0,740.0,0.9852,50,0,0,1.0,927.72,0.9,891.8571428571429,50,1,KF,rnr,1,60,50.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,KF,rnr,1,60,50.0,10.0
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,KF,rnr,1,60,50.0,10.0
3,0.9915693896484375,0.9915693896484375,49598,0.0,402.0,0.99196,50,0,0,1.0,911.4,0.88,805.4516129032259,50,1,KF,rnr,1,60,50.0,10.0
4,0.98470253515625,0.98470253515625,49236,0.0,764.0,0.98472,50,0,0,1.0,911.08,0.9,832.3333333333334,50,1,KF,rnr,1,60,50.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,KF,rnr,1,60,50.0,10.0
6,0.98312,0.98312,49156,0.0,844.0,0.98312,50,0,0,1.0,975.88,0.96,960.5384615384615,50,1,KF,rnr,1,60,50.0,10.0
7,0.981938421875,0.981938421875,49106,0.0,894.0,0.98212,50,0,0,1.0,892.0,0.84,780.25,50,1,KF,rnr,1,60,50.0,10.0
8,0.98946223046875,0.98946223046875,49474,0.0,526.0,0.98948,50,0,0,1.0,928.08,0.92,891.8571428571429,50,1,KF,rnr,1,60,50.0,10.0
9,0.9998996777191163,0.9998996777191163,49996,0.0,4.0,0.99992,50,0,0,1.0,980.72,0.96,924.925925925926,50,1,KF,rnr,1,60,50.0,10.0
0,0.99544,0.99544,49772,0.0,228.0,0.99544,50,0,0,1.0,963.56,0.96,960.5384615384615,50,3,KF,rnr,1,100,30.0,5.0
1,0.9743871015625,0.9743871015625,48728,0.0,1272.0,0.97456,50,0,0,1.0,904.56,0.86,805.4516129032259,50,3,KF,rnr,1,100,30.0,5.0
2,0.9993889304199218,0.9993889304199218,49970,0.0,30.0,0.9994,50,0,0,1.0,809.36,0.8,756.5757575757576,50,3,KF,rnr,1,100,30.0,5.0
3,0.986173642578125,0.986173642578125,49310,0.0,690.0,0.9862,50,0,0,1.0,870.88,0.8,713.2857142857143,50,3,KF,rnr,1,100,30.0,5.0
4,0.97502,0.97502,48751,0.0,1249.0,0.97502,50,0,0,1.0,889.68,0.86,832.3333333333334,50,3,KF,rnr,1,100,30.0,5.0
5,0.9992,0.9992,49960,0.0,40.0,0.9992,50,0,0,1.0,954.96,0.92,891.8571428571429,50,3,KF,rnr,1,100,30.0,5.0
6,0.9918100268554687,0.9918100268554687,49600,0.0,400.0,0.992,50,0,0,1.0,958.88,0.92,891.8571428571429,50,3,KF,rnr,1,100,30.0,5.0
7,0.97476,0.97476,48738,0.0,1262.0,0.97476,50,0,0,1.0,877.96,0.8,805.4516129032259,50,3,KF,rnr,1,100,30.0,5.0
8,0.99388,0.99388,49694,0.0,306.0,0.99388,50,0,0,1.0,965.12,0.96,960.5384615384615,50,3,KF,rnr,1,100,30.0,5.0
9,0.99752,0.99752,49876,0.0,124.0,0.99752,50,0,0,1.0,924.4,0.92,891.8571428571429,50,3,KF,rnr,1,100,30.0,5.0
0,0.985107259765625,0.985107259765625,49260,0.0,740.0,0.9852,50,0,0,1.0,927.72,0.9,891.8571428571429,50,1,KF,rnr,1,100,50.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,KF,rnr,1,100,50.0,10.0
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,KF,rnr,1,100,50.0,10.0
