,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas,sigPos
0,0.99364,0.99364,49682,0.0,318.0,0.99364,50,0,0,1.0,965.36,0.96,960.5384615384615,50,3,imm2,rnr,1,90,90.0,15.0,30.0
1,0.982531037109375,0.982531037109375,49132,0.0,868.0,0.98264,50,0,0,1.0,912.66,0.9,891.8571428571429,50,3,imm2,rnr,1,90,90.0,15.0,30.0
2,0.9917089296875,0.9917089296875,49586,0.0,414.0,0.99172,50,0,0,1.0,848.88,0.84,756.5757575757576,50,3,imm2,rnr,1,90,90.0,15.0,30.0
3,0.99944,0.99944,49972,0.0,28.0,0.99944,50,0,0,1.0,914.64,0.88,832.3333333333334,50,3,imm2,rnr,1,90,90.0,15.0,30.0
4,0.98328,0.98328,49164,0.0,836.0,0.98328,50,0,0,1.0,943.24,0.92,924.925925925926,50,3,imm2,rnr,1,90,90.0,15.0,30.0
5,0.9952,0.9952,49760,0.0,240.0,0.9952,50,0,0,1.0,994.2,0.96,960.5384615384615,50,3,imm2,rnr,1,90,90.0,15.0,30.0
6,0.99105002734375,0.99105002734375,49562,0.0,438.0,0.99124,50,0,0,1.0,919.64,0.88,861.0689655172414,50,3,imm2,rnr,1,90,90.0,15.0,30.0
7,0.99024,0.99024,49512,0.0,488.0,0.99024,50,0,0,1.0,909.52,0.84,805.4516129032259,50,3,imm2,rnr,1,90,90.0,15.0,30.0
8,0.99456,0.99456,49728,0.0,272.0,0.99456,50,0,0,1.0,964.44,0.96,960.5384615384615,50,3,imm2,rnr,1,90,90.0,15.0,30.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,imm2,rnr,1,90,90.0,15.0,30.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,imm2,rnr,1,50,90.0,10.0,90.0
1,0.982531037109375,0.982531037109375,49132,0.0,868.0,0.98264,50,0,0,1.0,912.66,0.9,891.8571428571429,50,3,imm2,rnr,1,50,90.0,10.0,90.0
2,0.9917089296875,0.9917089296875,49586,0.0,414.0,0.99172,50,0,0,1.0,848.88,0.84,756.5757575757576,50,3,imm2,rnr,1,50,90.0,10.0,90.0
3,0.99948,0.99948,49974,0.0,26.0,0.99948,50,0,0,1.0,920.08,0.92,891.8571428571429,50,3,imm2,rnr,1,50,90.0,10.0,90.0
4,0.99952,0.99952,49976,0.0,24.0,0.99952,50,0,0,1.0,959.48,0.96,960.5384615384615,50,3,imm2,rnr,1,50,90.0,10.0,90.0
5,0.99436,0.99436,49718,0.0,282.0,0.99436,50,0,0,1.0,955.04,0.92,924.925925925926,50,3,imm2,rnr,1,50,90.0,10.0,90.0
