,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
0,0.99876,0.99876,49938,0.0,62.0,0.99876,50,0,0,1.0,960.24,0.96,960.5384615384615,50,1,naive,rnr,1,120
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,naive,rnr,1,120
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,naive,rnr,1,120
3,0.9850465908203125,0.9850465908203125,49254,0.0,746.0,0.98508,50,0,0,1.0,984.04,0.96,960.5384615384615,50,1,naive,rnr,1,120
4,0.99996,0.99996,49998,0.0,2.0,0.99996,50,0,0,1.0,964.76,0.96,924.925925925926,50,1,naive,rnr,1,120
5,0.98774706640625,0.98774706640625,49396,0.0,604.0,0.98792,50,0,0,1.0,947.6,0.92,924.925925925926,50,1,naive,rnr,1,120
6,0.9994,0.9994,49970,0.0,30.0,0.9994,50,0,0,1.0,959.6,0.96,960.5384615384615,50,1,naive,rnr,1,120
7,0.9812012265625,0.9812012265625,49062,0.0,938.0,0.98124,50,0,0,1.0,947.88,0.92,924.925925925926,50,1,naive,rnr,1,120
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,naive,rnr,1,120
9,0.98728,0.98728,49364,0.0,636.0,0.98728,50,0,0,1.0,986.28,0.96,960.5384615384615,50,1,naive,rnr,1,120
0,0.99876,0.99876,49938,0.0,62.0,0.99876,50,0,0,1.0,960.24,0.96,960.5384615384615,50,1,naive,rnr,1,80
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,naive,rnr,1,80
